,Film,Film Studio/Producer(s),Award,Year of Release,Movie Time,Movie Genre,IMDB Rating,Movie Info,Critic Consensus,Content Rating,Directors,Actors,Streaming Release Date,Tomatometer Status,Tomatometer Rating,Audience Status,Audience Rating,Film ID
0,Wings,Famous Players-Lasky,Winner,1927,144,"Drama,Romance,War",7.5,"With World War I afoot, David Armstrong (Richard Arlen) and Jack Powell (Charles ""Buddy"" Rogers) join the military with an eye toward flying American fighter planes. They leave behind Mary Preston (Clara Bow), a local girl who's in love with David but committed to Jack. Dispatched to France as newly minted pilots, the men take to the skies in one of the war's climactic air battles, and as frantic Mary longs for the safe return of both men, one pays the ultimate price for his bravery.","Subsequent war epics may have borrowed heavily from the original Best Picture winner, but they've all lacked Clara Bow's luminous screen presence and William Wellman's deft direction.",PG-13,William Wellman,"Clara Bow, Charles 'Buddy' Rogers, Richard Arlen, Gary Cooper, Jobyna Ralston, Charles Rogers, Arlette Marchal, El Brendel, ""Gunboat"" Smith, Richard Tucker, Julia Swayne Gordon, Henry B. Walthall, George Irving, Hedda Hopper, Roscoe Karns, Charles Barton, Nigel De Brulier, James Pierce, Gloria Wellman, Margery Chapin Wellman, Carl von Hartmann, William Wellman, Frank Tomick, Dick Grace, Rod Rogers, Thomas Carrigan, Dorothy Coonan Wellman",2017-01-02,Certified-Fresh,93.0,Upright,78.0,2becf7d5-a3de-46ab-ae45-abdd6b588067
3,The Broadway Melody,Metro-Goldwyn-Mayer,Winner,1929,100,"Drama,Musical,Romance",5.7,"Vaudeville sisters ""Hank"" (Bessie Love) and Queenie Mahoney (Anita Page) take their act to the Broadway stage in New York when Eddie (Charles King), a professional song-and-dance man appearing in a new show, invites his girlfriend Hank to join him. Soon after, Eddie transfers his affections to Queenie, who attempts to do right by her sister by dating another man -- high society member Jock Warriner (Kenneth Thompson). The showbiz melodrama is quickly overshadowed by the romantic subplot.","The Broadway Melody is interesting as an example of an early Hollywood musical, but otherwise, it's essentially bereft of appeal for modern audiences.",NR,Harry Beaumont,"Anita Page, Bessie Love, Charles King, Jed Prouty, Ken Thomson, Edward Dillon, Mary Doran, J. Emmett Beck, Marshall Ruth, J.E. Beck, Drew Demarest, Eddie Kane, Nacio Herb Brown, Ray Cooke, James Gleason, Charles King Bibby, Angella Mawby, Claudine Mawby, Claudette Mawby",2017-02-25,Rotten,33.0,Spilled,21.0,de063f3f-2d35-4e1c-8636-6eb4c16bd236
13,Cimarron,RKO Radio,Winner,1931,123,"Drama,Western",5.9,"In 1889, adventurous lawyer and newspaper editor Yancey Cravat (Richard Dix) convinces his genteel wife, Sabra (Irene Dunne), to join him in the rush to populate Osage, Oklahoma. After they begin to settle into the community, Yancey leaves to go further west. Alone, Sabra inherits his editorial duties and struggles to bring civilization to the rough frontier town. Over a tumultuous 40 years, the couple are repeatedly separated and reunited as Oklahoma makes its long journey to statehood.","Cimarron is supported by a strong performance from Irene Dunne, but uneven in basically every other regard, and riddled with potentially offensive stereotypes.",NR,Wesley Ruggles,"Richard Dix, Irene Dunne, Estelle Taylor, Nance O'Neil, William Collier, William Collier Jr., Roscoe Ates, George E. Stone, Robert McWade, Frank Darien, Edna May Oliver, Eugene Jackson, Dolores Brown, Gloria Vonic, Otto Hoffman, William Orlamond, Frank Beal, Nancy Dover, Helen Parrish, Donald Dillaway, Junior Johnson, Douglas Scott, Reggie Streeter, Lois Jane Campbell, Ann Lee, Tyrone Brereton, Lillian Lane, Henry Roquemore, Nell Craig, Bob McKenzie, Bob Kortman, Clara Hunt, William Janney, Dennis O'Keefe, Stanley Fields, Frederick Burt, William P. Burt, Frank O'Connor",2017-01-08,Rotten,50.0,Spilled,25.0,db2683c0-128e-4b5c-858f-d9f18c2fb9b9
18,Grand Hotel,Metro-Goldwyn-Mayer,Winner,1932,112,"Drama,Romance",7.4,"At a luxurious Berlin hotel between the wars, the once-wealthy Baron Felix von Gaigern (John Barrymore) supports himself as a thief and gambler. In this lavish adaptation of the successful Broadway play, the baron romances one of his marks, the aging ballerina Grusinskaya (Greta Garbo), and teams with dying accountant Otto Kringelein (Lionel Barrymore) against his former boss, crooked industrialist Preysing (Wallace Beery), and his ambitious stenographer, Flaemmchen (Joan Crawford).","Perhaps less a true film than a series of star-studded vignettes, Grand Hotel still remains an entertaining look back at a bygone Hollywood era.",NR,Edmund Goulding,"Greta Garbo, John Barrymore, Joan Crawford, Wallace Beery, Lewis Stone, Jean Hersholt, Robert McWade, Purnell Pratt, Ferdinand Gottschalk, Lionel Barrymore, Rafaela Ottiano, Morgan Wallace, Tully Marshall, Murray Kinnell, Edwin Maxwell, Mary Carlisle, John Davidson, Sam McDaniel, Rolfe Sedan, Herbert Evans, Lee Phelps, Frank Conroy, Bodil Rosing",2016-12-20,Certified-Fresh,86.0,Upright,77.0,be69f946-6adc-47e4-8491-79d6c033f59d
26,Cavalcade,Fox,Winner,1933,112,"Drama,Romance,War",5.9,"Upper-crust Londoners Robert and Jane Marryot (Clive Brook, Diana Wynyard) and their working-class counterparts, Alfred and Ellen Bridges, experience life's many triumphs and tragedies from the Boer War at the dawn of the 20th century up to 1930s. Queen Victoria's death and the sinking of the Titanic etch deep scars on both families, but the outbreak of World War I and its dramatic aftermath proves to be the greatest test of their courage and friendship.","Though solidly acted and pleasant to look at, Cavalcade lacks cohesion, and sacrifices true emotion for mawkishness.",NR,Frank Lloyd,"Diana Wynyard, Clive Brook, Ursula Jeans, Herbert Mundin, Una O'Connor, Beryl Mercer, Irene Browne, Merle Tottenham, Frank Lawton, John Warburton, Margaret Lindsay, Billy Bevan, Dick Henderson, Douglas Scott, Sheila MacGill, Bonita Granville, Harry Allen, Desmond Roberts, Lionel Belmore, Frank Atkinson, Adele Crane, Ann Shaw, Howard Davies, Will Stanton, Stuart Hall, Betty Grable, Mary Forbes, Lawrence Grant, Winter Hall, Claude King, Tempe Piggott, Des Roberts, John Rogers, C. Montague Shaw, Pat Somerset, David Torrence, Douglas Walton",2016-02-14,Rotten,59.0,Spilled,26.0,e71a2212-92c3-4212-9eb2-d468f10c768e
27,42nd Street,Warner Bros.,Nominee,1933,89,"Comedy,Drama,Musical",7.4,"When revered Broadway director Julian Marsh (Warner Baxter) falls on hard times with both his health and his finances, he helms an ambitious musical as a final production before his retirement. His lead actress, Dorothy Brock (Bebe Daniels), is torn between two loves--the show's wealthy backer, Abner Dillon (Guy Kibbee), and the earnest but penniless actor Pat Denning (George Brent) --while aspiring young performer Peggy Sawyer (Ruby Keeler) waits in the wings, hoping for her big break.","Bubsy Berkeley does it again in 42nd Street, a brilliant depression-era romp with stellar musical numbers and impeccable choreography.",NR,Lloyd Bacon,"Warner Baxter, Bebe Daniels, George Brent, Ruby Keeler, Dick Powell, Guy Kibbee, Una Merkel, Ginger Rogers, George E. Stone, Harry Akst, Harry Warren, Al Dubin, Robert McWade, Ned Sparks, Eddie Nugent, Allen Jenkins, Clarence Nordstrom, Henry B. Walthall, Albert Akst, Toby Wing, Pat Wing, Tom Kennedy, Busby Berkeley, Wallis Clark, Jack LaRue, Alexis Dubin, Louise Beavers, Dave O'Brien, Patricia Ellis, George Irving, Charles Lane, Rolfe Sedan, Harry Seymour, Gertrude Keeler, Helen Keeler, Joan Barclay, Ann Hovey, Renee Whitney, Dorothy Coonan Wellman, Barbara Rogers, June Glory, Jayne Shadduck, Milton Kibbee, Adele Lacey, Loretta Andrews, Anne Hovey, Margaret La Marr, Mary Jane Halsey, Ruth Eddings, Edna Callaghan, Patricia Farnum, Maxine Cantway, Lynn Browning, Donna Mae Roberts, Lorena Layson, Alice Jans, Eve Marcy, Dorothy White, Evelyn Joice, Agnes Ray, Grace Tobin, Kermit Maynard, Lyle Talbot",2012-04-16,Fresh,96.0,Upright,74.0,1ad59370-1ed5-4d3a-a8c4-8571f95da168
33,She Done Him Wrong,Paramount,Nominee,1933,66,"Comedy,Drama,History",6.4,"Burlesque barroom singer Lady Lou (Mae West) knows everyone in town, especially the men. Unfortunately, her convict ex-boyfriend Chick Clark (Owen Moore) is the jealous type and vows violence against her if she behaves unfaithfully while he's in prison. To make matters worse, Lou's boss, Gus Jordan (Noah Beery Sr.), secretly runs a prostitution and counterfeiting ring, and the director of the city mission next door is actually a federal agent (Cary Grant). What's a girl to do?","She Done Him Wrong, but putting Cary Grant and Mae West together is pretty much nothing but right.",NR,Lowell Sherman,"Mae West, Cary Grant, Gilbert Roland, Noah Beery Sr., Owen Moore, David Landau, Rafaela Ottiano, Noah Beery Sr., Dewey Robinson, Rochelle Hudson, Tammany Young, Fuzzy Knight, Grace La Rue, Robert E. Homans, Louise Beavers, Wade Boteler, Aggie Herring, Tom Kennedy, James Eagles, Tom McGuire, Al Hill, Arthur Housman, Mary Gordon, Michael Mark, Mike Donlin, Harry Wallace, Lee Kohlmar, Frank Moran, Heinie Conklin, Jack Carr, Ernie S. Adams",2015-09-10,Fresh,91.0,Spilled,53.0,af3be976-1cee-4383-a6f1-50545a634ab5
36,It Happened One Night,Columbia,Winner,1934,105,"Comedy,Romance",8.1,"In Frank Capra's acclaimed romantic comedy, spoiled heiress Ellie Andrews (Claudette Colbert) impetuously marries the scheming King Westley, leading her tycoon father (Walter Connolly) to spirit her away on his yacht. After jumping ship, Ellie falls in with cynical newspaper reporter Peter Warne (Clark Gable), who offers to help her reunite with her new husband in exchange for an exclusive story. But during their travels, the reporter finds himself falling for the feisty young heiress.","Capturing its stars and director at their finest, It Happened One Night remains unsurpassed by the countless romantic comedies it has inspired.",NR,Frank Capra,"Claudette Colbert, Clark Gable, Walter Connolly, Jason Thomas, Roscoe Karns, Jameson Thomas, Ward Bond, Henry Wadsworth, Alan Hale, Claire McDowell, Arthur Hoyt, Blanche Frederici, Wallis Clark, Charles D. Brown, Hal Price, Eddy Chandler, Douglas Carter Beane, Ky Robinson, J. Frank Holliday, James Burke, Joseph Crehan, Matty Roubert, Sherry Hall, Mickey Daniels, Charles C. Wilson, George Breakston, Earl Pingree, Harry Hume, Oliver Eckhardt, Bess Flowers, Fred Walton, Ethel Sykes, Edmund Burns, Rev. Neal Dodd, Milton Kibbee, Eva Dennison, Eddie Kane, Harry Holman, Tom Ricketts, Maidel Turner, Irving Bacon, Frank Yaconelli, Harry C. Bradley, Harry Todd, Bert Starkey, Rita Ross, Ernie S. Adams, Billy Engle, Dave Wengren, Kit Guard",2012-04-16,Certified-Fresh,98.0,Upright,93.0,88fe2d2b-3e07-4c9f-9978-388b4f7b0c93
45,The Thin Man,Metro-Goldwyn-Mayer,Nominee,1934,91,"Comedy,Crime,Mystery",8.0,"The recently divorced Gilbert discovers that his new girlfriend has stolen $50,000 and is carrying on with other men. Not long afterward, he disappears. Anxious to locate her father, Gilbert's daughter (Maureen O'Sullivan) goes to private detective Nick Charles (William Powell) for help.","Featuring an involving mystery and sparkling repartee between William Powell and Myrna Loy, The Thin Man is an endlessly charming romp.",NR,W.S. Van Dyke,"William Powell, Myrna Loy, Maureen O'Sullivan, Nat Pendleton, Minna Gombell, Porter Hall, Henry Wadsworth, William Henry, Harold Huber, Cesar Romero, Natalie Moorhead, Edward S. Brophy, Creighton Hale, Phil Tead, Nick Copeland, Dink Templeton, Ruth Channing, Edward Ellis, Gertrude Short, Clay Clement, Cyril Thornton, Robert E. Homans, Raymond Brown, Douglas Fowley, Sherry Hall, Polly Bailey, Thomas E. Jackson, Dixie Laughton, Arthur Belasco, Edward Hearn, Garry Owen, Fred Malatesta, Rolfe Sedan, Leo White, Walter Long, Kenneth Gibson, Tui Lorraine Bow, Bert Roach, Huey White, Ben Taggart, Charles Williams, John Larkin, Harry Tenbrook, Pat Flaherty",2009-01-01,Fresh,97.0,Upright,93.0,3ae65a34-8ae8-42c5-9404-06faa25b3cb0
48,Mutiny on the Bounty,Metro-Goldwyn-Mayer,Winner,1935,132,"Adventure,Biography,Drama",7.7,"As the cruel captain of the HMS Bounty, a ship bound for Tahiti, William Bligh (Charles Laughton) wins few friends. When the crew members finally tire of his abuse, Fletcher Christian (Clark Gable) leads a mutiny, resulting in Bligh's unceremonious removal from the ship. While Christian and the remaining crew sail on to Tahiti, Bligh becomes intent on exacting revenge, and he targets Roger Byam (Franchot Tone), a sailor who had actually tried to stop the mutiny.","The historical inaccuracies in this high-seas adventure are more than offset by its timeless themes, larger-than-life performances from Clark Gable and Charles Laughton, and Frank Lloyd's superb direction.",NR,Frank Lloyd,"Charles Laughton, Clark Gable, Franchot Tone, Herbert Mundin, Eddie Quillan, Dudley Digges, Donald Crisp, Henry Stephenson, Francis Lister, Spring Byington, Movita, Mamo Clark, Ian Wolfe, Ivan Simpson, DeWitt Jennings, Stanley Fields, Wallis Clark, Vernon P. Downing, Dick Winslow, Byron Russell, Percy Waram, David Torrence, John Harrington, Robert Livingston, Douglas Walton, Alec Craig, Doris Lloyd, Eric Wilton, Lionel Belmore, Nadine Beresford, Marion Clayton, Mary Gordon, Winter Hall, James Cagney, David Niven, Charles Nauu, Sam Wallace Driscoll, Hal Le Sueur, William Bambridge, David Thursby, Crauford Kent, Pat Flaherty, Charles Irwin, John Powers, King Mojave, William Stack, Harold Entwistle, Will Stanton, Harry Cording",2017-03-07,Certified-Fresh,93.0,Upright,83.0,3cea2927-f5a4-4ffb-9e17-88566f2cd111
